deu	yid
salzen	זאַלצן
Samstag	שבת
Sonnabend	שבת
Samstag	שבת
sauer	זויער
Schablone	שאַבלאָן
Schablone	סטענצל
Schachbrett	שאָכברעט
scharf	שאַרף
Scheide	שייד
Scheiding	סעפּטעמבער
Scheiding	סעפטעמבער
September	סעפּטעמבער
September	סעפטעמבער
Herbstmonat	סעפּטעמבער
Herbstmonat	סעפטעמבער
Schild	שילד
Schlafzimmer	שלאָפֿצימער
Schlange	שלאנג
Schlittschuhläufer	גליטשלױפֿער
Schmerz	צער
Schmerz	עגמות
Schmerz	עגמות־נפֿש
Schmerz	לייד
Schmerz	וויי
Schmerz	טריבע
Schmerz	פֿאַרוויינטקייט
Schmerz	נאָכוויי
Schmerz	טריבקייט
Schmerz	גריזאָטע
Schmerz	אַנגסט
schmerzen	וויי טאָן
wehtun	וויי טאָן
Schmied	שמיד
Schmiedin	שמיד
Schmuggel	שמוגל
Schnee	שניי
Schneewittchen	שניי
schön	שיין
schön	שיין
schreiben	שרײַבן
Schuh	שוך
Schuhmacher	שוסטער
Schuster	שוסטער
Schule	שולע
Schule	שול
Schulter	אַקסל
Schulter	פּלייצע
schwarzes Loch	שווארצע לאך
Schwarzes Loch	שווארצע לאך
Schwein	חזיר
Schweinefleisch	חזיר
Schweinefleisch	חזיר־פֿלייש
Schwester	שװעסטער
See	אָזערע
Segelschiff	זעגלשיף
Segen	ברכה
Segnung	ברכה
sehr	זייער
viel	זייער
Seife	זיִיף
Seite	זײַטל
sekundär	צווייטיק
Sekunde	סעקונדע
Selbstentzündung	זעלבסט־אָנצינדונג
Selbstzündung	זעלבסט־אָנצינדונג
Eigenzündung	זעלבסט־אָנצינדונג
Selbstentflammung	זעלבסט־אָנצינדונג
Senegal	סענעגאַל
September	סעפּטעמבער
Serbien	סערביע
Set	שת
sich	זיך
sich treffen	טרעפֿן זיך
sich treffen	זען זיך
siebte	זיבט
siebente	זיבט
Silbe	טראַף
Silber	זילבער
Singapur	סינגאַפּור
Sinn	שׂכל
Slowenien	סלאוועניע
Sohn	זון
Sonne	זון
Sowjetunion	סאוועטן פארבאנד
Spieler	שפּילער
Spinne	שפּין
Webspinne	שפּין
elastisches Befestigungsband	שפּין
echte Spinne	שפּין
Spur	שפּור
Stagnation	סטאַגנאַציע
Stagnierung	סטאַגנאַציע
stark	שטאַרק
Stiefmütterchen	חנהלעס אייגעלע
Stil	סטיל
Straße	גאַס
Strasse	גאַס
Straße von Gibraltar	דורכגאָס פֿון גיבראַלטאַר
Strontium	סטראָנטייִום
Stunde	שעה
Südafrika	דרום אפריקע
Süden	דרום
sündig	זינדיק
Suriname	סורינאַם
Syrien	סיריע
Tadschikistan	טאדזשיקיסטאן
Taiwan	טײַװאַן
Tansania	טאַנזאַניע
Taube	טױב
Täuberich	טױב
Täuber	טױב
Tauberich	טױב
Täubin	טױב
Taxe	טאַקסי
Taxi	טאַקסי
Tee	tey
Tees	tey
Tee	טיי
Telefon	טעלעפֿאָן
Tempel	שול
Terrorismus	טעראָריזם
Thermometer	טערמאָמעטער
Todesstrafe	אויספֿירונג
Topas	טאָפּאַז
Träne	טרער
Tschechien	טשעכיע
Tunesien	טוניסיע
Türangel	זאַװיסע
Türangel	זאַװעסע
Türkei	טערקיי
übermorgen	איבער מאָרגן
Überschrift	קאָפּ
Köpfen	קאָפּ
Ansetzungsform	קאָפּ
Bugrichtung	קאָפּ
Steuerkurs	קאָפּ
Kopfballspiel	קאָפּ
Uhr	זייגער
Wanduhr	זייגער
umpflanzen	איבערזעצן
verpflanzen	איבערזעצן
und	און
ungefähr	קעגן
näherungsweise	קעגן
Union der Sozialistischen Sowjetrepubliken	פֿאַרבאַנד סאָוועטישע סאָציאַליסטישע רעפּובליקן
Untergrund	אונטערגרונט
unterirdisch	אונטערגרונט
unterschiedlich	פֿאַרשידענע
verschieden	פֿאַרשידענע
Uruguay	אורוגװײַ
Vater	טאַטע
Venezuela	װענעזװעלע
Venezuela	װענעזװעלע
verachten	פֿײַנט האָבן
Verb	ווערב
Verb	צייטווארט
Verbum	ווערב
Verbum	צייטווארט
Zeitwort	ווערב
Zeitwort	צייטווארט
Tätigkeitswort	ווערב
Tätigkeitswort	צייטווארט
Tuwort	ווערב
Tuwort	צייטווארט
Tunwort	ווערב
Tunwort	צייטווארט
Aussagewort	ווערב
Aussagewort	צייטווארט
Wandelwort	ווערב
Wandelwort	צייטווארט
verbrennen	ברענען
Verbrennungsmotor	אינטערנל קאמבאסטשען ענזשין
Vereinigten Staaten	פאראייניקטע שטאטן פון אמעריקע
Vereinigte Staaten von Amerika	פֿאַראײניקטע שטאַטן פֿון אַמעריקע
verheiraten	חתונה האָבן
Verteidigung	שמירה
Verteidigung	פֿאַרטיידיקונג
Vietnam	וויעטנאַם
Waage	וואָג
wachsen	אױסװאַקסן
Waise	yosem
Waisenkind	yosem
Wappen	הערב
Weichsel	ווײַסל
Weintraube	װײַנטרױב
weiß	ווײַס
weiss	ווײַס
Welle	וועל
Westasien	מערב־אַזיע
Westen	מערבֿ
Westländer	מערבֿ־וועלט
Wien	ווין
Winter	ווינטער
woanders	אַנדערש וווּ
Wolf	װאָלף
Wolle	װאָל
Wörterbuch	ווערטערבוך
Wurzel	װאָרצל
Wurzel	קרײַטעכץ
Wyoming	ווייאמינג
Zeus	זעאוס
Ziege	ציג
Zigarettenetui	פּאָרטציגאַר
Zoll	צאָל
Zopf	צאָפּ
zuallererst	ערשט
zuallererst	צום ערשט
zuallererst	צו ערשט
zuerst	ערשט
zuerst	צום ערשט
zuerst	צו ערשט
zunächst	ערשט
zunächst	צום ערשט
zunächst	צו ערשט
Zug	באן
Zuhälter	שמײַסער
Zuhälter	פֿרויען־הענדלער
Zukunft	צוקונפֿט
zum Beispiel	אַ שטייגער
zweitens	צווייטנס
Zyklus	ציקל
Zyklus	ציקלען
Zylinder	צילינדער
ich liebe dich	איך האָב דיך ליב
ich liebe dich	איך ליבע דיך
ich habe euch lieb	איך האָב דיך ליב
ich habe euch lieb	איך ליבע דיך
ich habe dich lieb	איך האָב דיך ליב
ich habe dich lieb	איך ליבע דיך
ich liebe euch	איך האָב דיך ליב
ich liebe euch	איך ליבע דיך
ich habe Sie lieb	איך האָב דיך ליב
ich habe Sie lieb	איך ליבע דיך
ich habe dich gern	איך האָב דיך ליב
ich habe dich gern	איך ליבע דיך
ich habe euch gern	איך האָב דיך ליב
ich habe euch gern	איך ליבע דיך
ich habe Sie gern	איך האָב דיך ליב
ich habe Sie gern	איך ליבע דיך
ich liebe Sie	איך האָב דיך ליב
ich liebe Sie	איך ליבע דיך
Jüdisches Autonomes Gebiet	ייִדישער אױטאָנאָמע געגנט
Russland	רוסלאַנד
Afrikanische Union	אַפֿריקאַנישע פֿאַרבאַנד
AU	אַפֿריקאַנישע פֿאַרבאַנד
Afrikaniſche Union	אַפֿריקאַנישע פֿאַרבאַנד
Antikes Griechenland	אוראלט גריכנלאנד
Arm	אָרעם
Arm	אָדער
Arm	טײַך־אָדער
Bischkek	בישקעק
Braten	געבראָטנס
Gebratene	געבראָטנס
Fuß	פֿוס
Fuss	פֿוס
Geheime Staatspolizei	געשטאפא
Gehen	גאַנג
gelb	געל
Hintern	דאָס
Hundeleine	שטריקל
Hundeleine	הונטרימען
Kain	קין
Körperflüssigkeit	הומאָר
Kuh	קיִיִש
Massage	מאסאזש
Nablus	שכם
Rennen	געיעג
Rigorismus	ריגאָריזם
Samaria	שומרון
Samaria	שומרון
semitisch	סעמיטיש
schemitisch	סעמיטיש
Stolz	שטאָלץ
trotz	ניט קוקן קוקן אויף
Verbündete	אַליִיִרטער
-e	חודש
-e	מאָנאַט
Monat -s	חודש
Monat -s	מאָנאַט
Schächterin	שוחט
Schächterin	שוחטים
Schächter	שוחט
Schächter	שוחטים
-n	פֿאָן
Hefezopf	פֿויגל
Hefezopf	חלה
-n	נאָדל
Mohel	מוהל
Lodz	לאָדזש
Lodsch	לאָדזש
Jan.	יאַנואַר
Jarmulke	יאַרמלקע
Skarabeus	דזשוכע
Käfer -s	דזשוכע
stante pede	גלײַך
St. Helena	סעינט העלענע
Erster Weltkrieg	ערשטע וועלט מלחמה
Isaac Bashevis Singer	יצחק באשעוויס זינגער
Sputnik	ספּוטניק
Major League Baseball	MLB
sich häufen	קלײַבן זיך
Wendekreis des Steinbocks	טראָפּיק פֿון שטײנבאָק
Südlicher Wendekreis	טראָפּיק פֿון שטײנבאָק
Paul Wolfowitz	פאול וואלפאוויץ
Brigitte Bardot	בריזשיט בארדא
Palmengewächse	פאלמע
1. Buch Mose	ספר בראשית
Heinrich Himmler	היינריך הימלער
Skisport	נאַרטלערײַ
Skilauf	נאַרטלערײַ
Rebekka	רבֿקה
Lemberg	לעמבערג
Lemberg	לעמבעריק
Lwiw	לעמבערג
Lwiw	לעמבעריק
Geschichte des Vereinigten Königreiches	היסטאריע פונעם פאראייניגטן קעניגרייך
Louis Saint-Laurent	לואיס סעינט לורענט
Marlon Brando	מארלאן בראנדא
Gamal Abdel Nasser	גאמאל אבדול נאסער
Niagarafälle	ניאגארא פאלס
George H. W. Bush	דזשארזש הערבערט וואלקער בוש
Microsoft Windows	ווינדאס
Tiber	טיבער
Thomas von Aquin	טאָמאַס אַקװינאַס
Herodes	הורדוס
Abraham Lincoln	עברעהעם לינקולן
Hohes Lied	שיר השירים
Hohes Lied	שיר השירים
Hohelied	שיר השירים
Augenoperation	לעיסיק
Zachary Taylor	זאכארי טעילאר
James K. Polk	זשעימס נאקס פאלק
Yona Metzger	יונה מצגר
Curitiba	קוריטיבא
Yahoo	יאהו
Microsoft Word	Microsoft Word
Voice of America	VOA
Financial District	פינאנציעלע דיסטריקט
Sikarier	סיקריקין
Agudat Yisrael	אגודת ישראל
Sacharja	זכריה הנביא
Der Pate	דער גאדפאטער
Talpiot	תלפיות
Noachidische Gebote	די זיבן מצוות בני נח
Martin Luther King Day	מארטין לוטער קינג דעי
Asarja	עוזיהו
Ijjar	אייר
Masel tov	מזל טוב
Maleachi	מלאכי
Berg Tabor	הר תבור
Südsudan	דרום־סודאַן
Uriel Weinreich	אוריאל וויינרייך
Charles Krauthammer	טשארלס קראוטהאמער
Dönme	דענמע
Michal	מיכל
Otniel	עתניאל בן קנז
Seder	ליל הסדר
Tischa beAv	תשעה באב
Universität Tel Aviv	תל אביב אוניווערסיטעט
Joseph Lieberman	זשאוסעף ליבערמאן
Sukkot	סוכות
Al Franken	על פרענקען
Federal Bureau of Investigation	FBI
John Quincy Adams	זשאן קווינסי עדעמס
Kloster Koprzywnica	פאקשיווניץ
Norman Finkelstein	נארמאן פינקעלשטיין
Or Jehuda	אור יהודה
Atalja	עתליה
Elul	אלול
Enosch	אנוש
Konferenz von Évian	עוויאן קאנפערענץ
Adipositas	גראב
biochemie	ביאכעמיע
Nordpolarkreis	אַרקטישע קרײַז
Nördlicher Polarkreis	אַרקטישע קרײַז
Baby-Boomer	בעיבי בומער
-en	נײטראָן
Neutron -s	נײטראָן
-n	פלייט
Do	דאנערשטיק
Wetter -s	װעטער
Holzteer	דזשעגעכץ
lecke mich am Arsch	קושן אין תּחת
Degenerat	דעגענעראַט
Wolf - s	װאָלף
Preßkuchen	מאַקוך
Abpreßling	מאַקוך
Menschewismus	מענשעוויסם
.	,
Britische Pfund	פֿונט שטערלינג
Selayar	sly
Armenisch	ארמעניש
Baskisch	באַסקיש
Cebuano	סעבואַניש
Esperanto	עספּעראַנטא
Estnisch	עסטיש
Hebräisch	לשון־קודש
Hebräisch	העברעיִש
Hebräisch	ייִד
Hebräer	העברעיִש
Hebräer	ייִד
Hebräerin	העברעיִש
Hebräerin	ייִד
Jude	העברעיִש
Jude	ייִד
Jüdin	העברעיִש
Jüdin	ייִד
Neuhebräisch	העברעיִש
Neuhebräisch	ייִד
Iwrit	העברעיִש
Iwrit	ייִד
Hindi	הינדי
ich	איך
Indonesisch	אינדאנעזיש
Japanisch	יאַפּאַניש
Jiddisch	ייִדיש
Jiddisch	ייִדיש
Kurdisch	קורדיש
mehrsprachig	עטלעך־שפּראַכיק
vielsprachig	עטלעך־שפּראַכיק
Niederdeutsch	נידערדײַטש
Niederländisch	האלענדיש
Polnisch	פּױליש
Russisch	רוסיש
Slowenisch	סלאָװעניש
Windisch	סלאָװעניש
Sprache	לשון
Thai	טײַלענדיש
Thailändisch	טײַלענדיש
Thailänder	טײַלענדיש
Thailänderin	טײַלענדיש
übersetzen	איבערזעצן
Weißrussisch	װײַסרוסיש
Weißrussisch	ווײַסרוסיש
Belarussisch	ווײַסרוסיש
böhmisch	טשעכיש
tschechisch	טשעכיש
chinesisch	כינעזיש
Englische Sprache	ענגליש
-	שלאָף
Schlaf -s	שלאָף
Aar	אָדלער
Adler	אָדלער
Aar	אָדלער
Adler	אָדלער
Zehn-Dollar-Note	אָדלער
Eagle	אָדלער
Abbild	בילד
Bild	בילד
abgeben	געבן
geben	געבן
Abschnitt	שטאַפּל
Phase	שטאַפּל
Stufe	שטאַפּל
Absorption	אַבסאָרבירונג
Absorption	אײַנזאַפּונג
Lichtabsorption	אַבסאָרבירונג
Lichtabsorption	אײַנזאַפּונג
Administration	אַדמיניסטראַציע
Administration	אָנפֿירונג
Führung	אַדמיניסטראַציע
Führung	אָנפֿירונג
Geschäftsführung	אַדמיניסטראַציע
Geschäftsführung	אָנפֿירונג
Geschäftsleitung	אַדמיניסטראַציע
Geschäftsleitung	אָנפֿירונג
Handhabung	אַדמיניסטראַציע
Handhabung	אָנפֿירונג
Management	אַדמיניסטראַציע
Management	אָנפֿירונג
Verwalten	אַדמיניסטראַציע
Verwalten	אָנפֿירונג
Verwaltung	אַדמיניסטראַציע
Verwaltung	אָנפֿירונג
Unternehmensleitung	אַדמיניסטראַציע
Unternehmensleitung	אָנפֿירונג
Unternehmensführung	אַדמיניסטראַציע
Unternehmensführung	אָנפֿירונג
Leiten	אַדמיניסטראַציע
Leiten	אָנפֿירונג
Afrika	אפריקע
Akteur	אַקטיאָר
Akteur	אַרטיסט
Darsteller	אַקטיאָר
Darsteller	אַרטיסט
Darstellerin	אַקטיאָר
Darstellerin	אַרטיסט
Schauspieler	אַקטיאָר
Schauspieler	אַרטיסט
Schauspielerin	אַקטיאָר
Schauspielerin	אַרטיסט
Mime	אַקטיאָר
Mime	אַרטיסט
Theater…	אַקטיאָר
Theater…	אַרטיסט
Alaska	אלאסקע
Algerien	אַלזשיר
all	אַלע
alle	אַלע
Alliteration	אַליטעראַציע
Stabreim	אַליטעראַציע
allwöchentlich	װאָכנ
allwöchentlich	װאָכנדיק
allwöchentlich	װאָכיק
allwöchentlich	װאָכנטלעך
wöchentlich	װאָכנ
wöchentlich	װאָכנדיק
wöchentlich	װאָכיק
wöchentlich	װאָכנטלעך
alphabetisch	אַלפֿאַבעטיש
Al-Qaida	אל-קאידא
alte Jungfer	אַלטע מויד
alte Jungfer	פֿאַרזעסענע מויד
Alter	אַלטער
alter Mann	אַלטער
Greis	אַלטער
Ameise	מוראַשקע
Amerika	אַמעריקע
Amerika	אַמעריקע
amerikanisch	אַמעריקאַניש
Anekdote	אַנעקדאָט
angeblich	זאָלן
Angst	shrek
Furcht	shrek
Grauen	shrek
Panik	shrek
Schreck	shrek
Schrecken	shrek
Terror	shrek
anrufen	אָנרופֿן
anrufen	טעלעפֿאָנירן
Anschauung	מיינונג
Ansicht	מיינונג
Meinung	מיינונג
Antigua und Barbuda	אַנטיגוע און באַרבודע
antik	אַנטיק
Antisemit	אַנטיסעמיט
Judenfeind	אַנטיסעמיט
Antisemitin	אַנטיסעמיט
Apfel	עפּל
Apotheke	אַפּטייקקראָם
Apotheke	אַפּטייק
April	אַפּריל
Ostermond	אַפּריל
Oſtermond	אַפּריל
Äquatorialguinea	עקוואַטארישע גינע
Arbeitgeber	באַשעפֿטיקער
Argentinien	אַרגענטינע
Armee	אַרמיי
Heer	אַרמיי
Landstreitkraft	אַרמיי
Armsessel	פֿאָטעל
Armsessel	פֿאָטערשטול
Fauteuil	פֿאָטעל
Fauteuil	פֿאָטערשטול
Lehnstuhl	פֿאָטעל
Lehnstuhl	פֿאָטערשטול
Polstersessel	פֿאָטעל
Polstersessel	פֿאָטערשטול
Polsterstuhl	פֿאָטעל
Polsterstuhl	פֿאָטערשטול
Sessel	פֿאָטעל
Sessel	פֿאָטערשטול
Armut	דלות
Arznei	מעדיקאַמענט
Droge	מעדיקאַמענט
Heilmittel	מעדיקאַמענט
Medikament	מעדיקאַמענט
Medikamente	מעדיקאַמענט
Medizin	מעדיקאַמענט
medizinische Behandlung	מעדיקאַמענט
Arzneimittel	מעדיקאַמענט
Arzneimittelverordnung	מעדיקאַמענט
Aserbaidschan	אַזערבײַדזשאַן
Asien	אַזיע
Aſien	אַזיע
Asien	אַזיע
Ast	צווײַג
Zweig	צווײַג
Atheismus	אַטעיִזם
Athen	אטען
Äthiopien	עטיאָפּיע
Atlantik	אַטלאַנטיק
Atlantik	אַטלאַנטישע אָקעאַן
Atlantischer Ozean	אַטלאַנטיק
Atlantischer Ozean	אַטלאַנטישע אָקעאַן
Atlantiſcher Ozean	אַטלאַנטיק
Atlantiſcher Ozean	אַטלאַנטישע אָקעאַן
atmen	אָטעמען
hauchen	אָטעמען
Aubergine	פּאַטלעזשאַן
Eierfrucht	פּאַטלעזשאַן
Melanzani	פּאַטלעזשאַן
auch	אויך
ebenfalls	אויך
ebenso	אויך
genauso	אויך
gleichfalls	אויך
ebenso gern	אויך
ebensogern	אויך
auf	אויף
Aufstand	אויפֿשטאַנד
Aufstand	פּאָווסטאַניע
Auge	oig
Auge	אויג
Augenlinse	אױגנלינדז
Kristallinse	אױגנלינדז
Auktion	ליציטאַציע
Versteigerung	ליציטאַציע
Ausflug	וועג
Ausflug	נסיעה
Reise	וועג
Reise	נסיעה
auslassen	אויסלאָזן
auslaufen	רינען
auslaufen	אויסרינען
austreten	רינען
austreten	אויסרינען
Aussprache	אַרויסרעד
Aussprache	אויסשפּראַך
Baby	אויפעלע
Kleinkind	אויפעלע
Säugling	אויפעלע
Backe	באַק
Backe	בעקל
Wange	באַק
Wange	בעקל
Backstein	ציגל
Ziegel	ציגל
Ballon	באַלאָן
Luftballon	באַלאָן
Ballon	באַלאָן
Ballon	לופֿטבאַלאָן
Bauchredner	ווענטרילאָקוויסט
Ventriloquist	ווענטרילאָקוויסט
BDSM	BDSM
beachten	היטן
befolgen	היטן
bedienen	באַגיין זיך
beenden	שליסן
schließen	שליסן
Beistand	הילף
Hilfe	הילף
Beistrich	קאָמע
Komma	קאָמע
Belarus	ווײַסרוסלאַנד
Weißrussland	ווײַסרוסלאַנד
Belize	בעליזע
Bemitleidung	רחמנות
Bemitleidung	דערבאַרעמען
Erbarmen	רחמנות
Erbarmen	דערבאַרעמען
Mitgefühl	רחמנות
Mitgefühl	דערבאַרעמען
Mitleid	רחמנות
Mitleid	דערבאַרעמען
Teilnahme	רחמנות
Teilnahme	דערבאַרעמען
Benzin	גאזאלין
Berater	ייצע-געבער
Ratgeber	ייצע-געבער
Berlin	בערלין
Bestechung	כאבאר
Bestechungsgeld	כאבאר
bestimmt	מוזן
bestimmt	אויף געוויס
bestimmt	אויף זיכער
sicher	מוזן
sicher	אויף געוויס
sicher	אויף זיכער
sicherlich	מוזן
sicherlich	אויף געוויס
sicherlich	אויף זיכער
Beutel	זאַק
Beutel	זעק
Sack	זאַק
Sack	זעק
Tüte	זאַק
Tüte	זעק
Papiersack	זאַק
Papiersack	זעק
Beutel	זאַק
Beutel	זעק
Sack	זאַק
Sack	זעק
Tüte	זאַק
Tüte	זעק
Papiersack	זאַק
Papiersack	זעק
bewölkt	וואָלקנדיק
wolkig	וואָלקנדיק
Biene	בין
Bier	ביר
Billett	בילעט
Fahrkarte	בילעט
Fahrschein	בילעט
Ticket	בילעט
Fahrausweis	בילעט
Billet	בילעט
Binnensee	אָזערע
See	אָזערע
Seen	אָזערע
Sees	אָזערע
bitte	צו געזונט
bitte	נישטאָ פֿאַרוואָס
gern geschehen	צו געזונט
gern geschehen	נישטאָ פֿאַרוואָס
keine Ursache	צו געזונט
keine Ursache	נישטאָ פֿאַרוואָס
blau	בלױ
Blickwinkel	קוק
Blickwinkel	זעפּונקט
Gesichtspunkt	קוק
Gesichtspunkt	זעפּונקט
Standpunkt	קוק
Standpunkt	זעפּונקט
blind	בלינד
blutig	בלוטיק
Böhmen	פיהם
Böhmerland	פיהם
Böhmen	בעהמען פיהם
Bordell	שאַנדהויז
Bordell	הײַזל
Brachet	יוני
Juni	יוני
brauchen	מוזן
brauchen	דאַרפֿן
brauchen	דאַרפֿן
brauchen	באַנייטיקן זיך אין
brauchen	נייטיק האָבן
brennen	ברענען
Brot	ברויט
Brücke	בריק
Bruder	ברודער
Brüssel	בריסל
Brust	ברוסט
brutal	groysam
grausam	groysam
Buch	בוך
Buch	בוך
Lehrbuch	בוך
Buchhalter	בוכהאַלטער
Buchhalter	עקאָנאָם
Buchhalterin	בוכהאַלטער
Buchhalterin	עקאָנאָם
Bulgarien	בולגאַריע
Bulgarien	בולגאריע
Burgenland	בורגנלאנד
C	C
Café	קאַװעהױז
Cafeteria	קאַװעהױז
Kantine	קאַװעהױז
Mensa	קאַװעהױז
Champion	מײַסטער
Champion	טשעמפּיִאָן
Meister	מײַסטער
Meister	טשעמפּיִאָן
Christentum	קריסטנטום
Christentum	קריסטלעכקייט
Courage	מוט
Mut	מוט
Schneid	מוט
Tapferkeit	מוט
Dahlie	דאַליאַ
Dänemark	דענמאַרק
danke	אַ דאַנק
darum	דערפֿאַר
deshalb	דערפֿאַר
deswegen	דערפֿאַר
Dekade	יאָרצענדלינג
Jahrzehnt	יאָרצענדלינג
Dezennium	יאָרצענדלינג
decennium	יאָרצענדלינג
Demokratisierung	דעמאָקראַטיזירונג
desinfizieren	דיסאינפֿיצירן
entseuchen	דיסאינפֿיצירן
Desoxyribonukleinsäure	די ען עי
Diaspora	גלות
Diener	דינער
Dienstag	דינסטיק
Ding	חפֿץ
Ding	זאַך
Dirne	מײדל
Freundin	מײדל
Mädchen	מײדל
Mädel	מײדל
Verlobte	מײדל
Distanz	דיסטאַנץ
Entfernung	דיסטאַנץ
Doktor	.Ph.D
Dolch	שטעכמעסער
Dolch	שטילעט
Stilett	שטעכמעסער
Stilett	שטילעט
Donnerstag	דאָנערשטיק
dreißig	דרייַסיק
dreizehn	דרײַצן
Druck	צוואַנג
Druck	דרוק
Nötigung	צוואַנג
Nötigung	דרוק
Zwang	צוואַנג
Zwang	דרוק
drucken	דרוקן
drucken	דרוקן
Druckerei	דרוק
Druckerei	דרוקערײַ
du	דו
Du	דו
Dummheit	טיפּשות
Dünaburg	דענענבורג
Daugavpils	דענענבורג
Dunkelheit	פינסטערניש
Dunkel	פינסטערניש
durstig	דאָרשטיק
edel	כּשר
edel	גערעכט
edel	יושרדיק
ehrlich	כּשר
ehrlich	גערעכט
ehrlich	יושרדיק
Ehe	נישׂואין
Ehe	זיווגשאַפֿט
Ehe	מאַן־און־ווײַב־לעבן
Ehe	זיווג־לעבן
Eichel	צלם
Eichhorn	וועווריק
Eichhorn	וועוורקע
Eichhörnchen	וועווריק
Eichhörnchen	וועוורקע
Hörnchen	וועווריק
Hörnchen	וועוורקע
Eichkätzchen	וועווריק
Eichkätzchen	וועוורקע
Eichkatze	וועווריק
Eichkatze	וועוורקע
Eichhase	וועווריק
Eichhase	וועוורקע
Eichkater	וועווריק
Eichkater	וועוורקע
Eichhörnchen	וועווערקע
eigen	אייגן
Eile	אײַלעניש
Eile	כאַפּעניש
Eile	אײַל
Eile	צואײַל
Hektik	אײַלעניש
Hektik	כאַפּעניש
Hektik	אײַל
Hektik	צואײַל
Hetze	אײַלעניש
Hetze	כאַפּעניש
Hetze	אײַל
Hetze	צואײַל
Hast	אײַלעניש
Hast	כאַפּעניש
Hast	אײַל
Hast	צואײַל
ein	אַ
ein	אַן
eine	אַ
eine	אַן
einander	איינס דאָס צווייט
gegenseitig	איינס דאָס צווייט
einfach	גראָב
Einfluß	השפּעה
Einfluß	װירקונג
Einfluß	װירק
Einfluß	השלכה
Einwirkung	השפּעה
Einwirkung	װירקונג
Einwirkung	װירק
Einwirkung	השלכה
Einlage	אײַנלאָג
Guthaben	אײַנלאָג
Sparguthaben	אײַנלאָג
einpacken	פּאַקן
packen	פּאַקן
verpacken	פּאַקן
Eishockey	האָקי
Hockey	האָקי
Ekzem	עקזעמע
Elektriker	עלעקטריקער
Elektrotechniker	עלעקטריקער
elektrisieren	עלעקטריזירן
Elter	טאַטע־מאַמע
Eltern	טאַטע־מאַמע
Elternteil	טאַטע־מאַמע
Mutter	טאַטע־מאַמע
er	ער
Erdöl	נאפט
Öl	נאפט
Petroleum	נאפט
Erdsatellit	לבֿנה
Erdsatellit	לבנה
Erfahrung	ערפארונג
Ergriffenheit	גערירטקײט
Rührung	גערירטקײט
Erinnerung	אָנדענק
erneut	צוריק
erneut	נאָכאַמאָל
erneut	ווידער
noch einmal	צוריק
noch einmal	נאָכאַמאָל
noch einmal	ווידער
wieder	צוריק
wieder	נאָכאַמאָל
wieder	ווידער
schon wieder	צוריק
schon wieder	נאָכאַמאָל
schon wieder	ווידער
nochmal	צוריק
nochmal	נאָכאַמאָל
nochmal	ווידער
erpressen	שאַנטאַזש
Europäische Union	אייראפּעישער פֿאַרבאַנד
evident	קלאָר
evident	קענטיק
Fälscher	פֿאַלֿסיפֿיקאַטאָר
Falsifikator	פֿאַלֿסיפֿיקאַטאָר
Falschspieler	שולער
Falschspieler	שניפּער
Familie	משפּחה
Familienname	פֿאַמיליע
Nachname	פֿאַמיליע
Farbe	פאַרבּ
Feder	פֿעדער
Vogelfeder	פֿעדער
Feigen	פֿיקוס
Feigenbaum	פֿיקוס
Gummibaum	פֿיקוס
Festplatte	האַרטער דיסק
Fett ansetzen	פֿעט װערן
fett werden	פֿעט װערן
verfetten	פֿעט װערן
Finger	פֿינגער
Fingernagel	נאָגל
Finnland	פינלאנד
Fläche	אייבערפֿלאַך
Fläche	אויבנאויף
Fleischer	קצבֿ
Fleischer	קצבֿים
Metzger	קצבֿ
Metzger	קצבֿים
Schlächter	קצבֿ
Schlächter	קצבֿים
Metzgerin	קצבֿ
Metzgerin	קצבֿים
Schlachter	קצבֿ
Schlachter	קצבֿים
Fleischhauer	קצבֿ
Fleischhauer	קצבֿים
Fleischhacker	קצבֿ
Fleischhacker	קצבֿים
Fleischerin	קצבֿ
Fleischerin	קצבֿים
Metzlerin	קצבֿ
Metzlerin	קצבֿים
Katzoff	קצבֿ
Katzoff	קצבֿים
Knochenhauerin	קצבֿ
Knochenhauerin	קצבֿים
Metzler	קצבֿ
Metzler	קצבֿים
Schlachterin	קצבֿ
Schlachterin	קצבֿים
Schlächterin	קצבֿ
Schlächterin	קצבֿים
Fleischhauerin	קצבֿ
Fleischhauerin	קצבֿים
Fleischhackerin	קצבֿ
Fleischhackerin	קצבֿים
Knochenhauer	קצבֿ
Knochenhauer	קצבֿים
Flieder	בעז
Flüchtling	פּליט
Flug	פֿליג
Fluss	טײַך
Fluß	טײַך
Forschung	פֿאָרשונג
Recherche	פֿאָרשונג
Untersuchung	פֿאָרשונג
Frankreich	פראנקרייך
französische Sprache	פראנצויזיש
Freitag	פרײַטאָג
Freitag	פרײַטאָג
Frosch	זשאַבע
Kröte	זשאַבע
Unke	זשאַבע
Froschlurch	זשאַבע
Eisenauflage	זשאַבע
Gecke	זשאַבע
Strahl des Pferdes	זשאַבע
Fretsche	זשאַבע
früh	פֿריִיִק
Frühe	פֿרימאָרגן
Vormittag	פֿרימאָרגן
Früh	פֿרימאָרגן
fürwahr	יאָ
ja	יאָ
ja doch	יאָ
ja, klar	יאָ
Furz	פֿאָרץ
Fürze	פֿאָרץ
Pups	פֿאָרץ
